action.abort,Cancella
action.back_to_overview,"ritorna all'elenco"
action.calculate_route,"Calcola percorso"
action.comment,commentare
action.download,scaricare
action.edit,modificare
action.filter,Filtern
action.follow_us_on,"Folge uns auf"
action.get_more,"Mehr erfahren"
action.go_ahead,avanti
action.go_back,indietro
action.login,accedi
action.logout,esci
action.place_order,"Ordinare e pagare"
action.register,registrare
action.reset,zurücksetzen
action.reset_password,"rimettere la password"
action.respond,rispondere
action.save,salvare
action.search,cercare
action.select.country,"Selezionare paese"
action.select.lang,"Selezionare lingua"
action.select.please,"Prego selezionare"
action.send,inviare
action.share,condividere
action.share_article,"Condividere Articolo"
action.shop_update_cart,"Warenkorb aktualisieren"
action.to_login,"zur Anmeldung"
action.wait,"Si prega di aspettare..."
company.country,Italia
company.email,info@kreatif.it
company.location,Bolzano
company.name,Kundenname
company.phone,"+39 1111 999999"
company.postal,39100
company.province,BZ
company.region,"Alto Adige"
company.street,"Via Kravogl 14"
company.vat,1234567890
company.website,www.example.com
error.field.checkbox_not_set,"Si prega di verificare la casella '{{fieldname}}'"
error.field.email_not_valid,"Si prega di inserire un'email valida"
error.field.empty,"Si prega di compilare il campo '{{fieldname}}'"
error.field.fiscal_code_not_valid,"Si prega di inserire un codice fiscale valido"
error.field.no_option_selected,"Prego selezionare un'opzione – '{{fieldname}}'"
error.field.vat_not_valid,"Si prega di inserire una P. IVA valida"
error.login_failed,"Anmeldung ist fehlgeschlagen"
error.no_user_found_for_given_mail,"Es ist kein Benutzer mit der angegeben Email registriert"
label.additional_info,"weitere Infos"
label.adults,Adulti
label.adult_count,"Numero adulti"
label.age,Alter
label.all,tutti
label.amount,quantità
label.are_required_fields,"sono campi obbligatori"
label.article,Articolo
label.birthyear,Geburtsjahr
label.booking,Prenotazione
label.categories,Categorie
label.children,Bambini
label.children_count,"Numero bambini"
label.close,Chiudere
label.comment,Commento
label.comments,Commenti
label.company,Dita
label.contact_data,"Dati di contatto"
label.country,Paese
label.date,Data
label.description,Descrizione
label.details,Dettagli
label.education,Ausbildung
label.email,Email
label.email_forgotten,"Email dimenticata?"
label.enable_geolocation_tracking,"Um ihren Standort bestimmen zu können müssen Sie die Ortungsdienste aktivieren. Laden Sie anschließend die Seite neu"
label.error,Errore
label.fax,Fax
